40,11,29,bbsbox (bbsbox),[問卦] 伊斯蘭教要怎麽救？,Sun Aug 15 08:56:18 2021
4,2,2,ich2 (),[問卦] 200消費券都能花了200元現金怎麼沒人用,Sun Aug 15 11:12:46 2021
11,1,10,saufu08 (saufu),Re,Sun Aug 15 12:44:55 2021
0,0,0,dophon (dophon),Re,Sun Aug 15 12:49:53 2021
0,0,0,whj0530 (億載金城武),[新聞] 陳亭妃分析振興券與消費券不同之處　「,Sun Aug 15 13:29:59 2021
7,4,3,s110269 (),[問卦] 台灣房價還算便宜吧？,Sun Aug 15 12:04:14 2021
0,0,0,yeh67 (葉府文昌帝君駕到),Re,Sun Aug 15 12:01:13 2021
41,4,37,cyh2210 (有完沒完?),[問卦] 國外一直爆變種病毒確診數,Sun Aug 15 08:21:07 2021
1,0,1,lamigo520 (菜市口阿勇),[問卦] 不打高端跟不簽聯絡簿那個比較噁心？,Sun Aug 15 11:12:13 2021
10,3,7,chamge7788 (經濟王7887),[問卦] 桃園7月人口增加少，是不是很慘,Sun Aug 15 06:52:00 2021
31,13,18,tkglobe (nashi),Re,Sun Aug 15 11:47:18 2021
4,0,4,coolfly (咩嘎嗲死),Re,Sun Aug 15 09:26:20 2021
7,3,4,bb854697 (MasterWu),[問掛] YouTube遊戲廣告音效有夠毛,Sun Aug 15 04:09:42 2021
3,1,2,grant790110 (歷史的過客),[問卦] 戰爭結束了,Sun Aug 15 11:13:24 2021
3,0,3,MgcnVanish (手品は最高だ!!),Re,Sun Aug 15 09:26:23 2021
2,0,2,huabandd (我是阿肥巴你頭),Re,Sun Aug 15 10:47:07 2021
0,1,-1,hsshkisskiss (過去過不去),Re,Sun Aug 15 09:33:33 2021
67,9,58,zzzz8931 (宅男),[問卦] 不吃牛的原因是什麼？,Sun Aug 15 08:39:56 2021
2,2,0,chopinmozart (aha),[問卦] 鄭重呼籲政府立刻發行交配券,Sun Aug 15 11:55:24 2021
2,0,2,flower42 (栗悟飯與龜波功),[問卦] 有沒有中廣「午夜奇談」的八卦？,Sun Aug 15 13:17:18 2021
